,Date,USD,Gold,BTC,Total Net Worth
39,2/12/20,1374.2200000000018,4,0,7566.4720000000025
40,2/14/20,7611.420000000002,0,0,7611.420000000002
41,2/15/20,1222.5600000000015,4,0,7482.528000000001
42,2/27/20,7696.760000000002,0,0,7696.760000000002
43,3/1/20,1192.9700000000023,4,0,7527.584000000003
44,3/10/20,7816.070000000002,0,0,7816.070000000002
45,3/19/20,2351.3100000000027,0,1,7653.335400000002
46,3/22/20,8422.610000000002,0,0,8422.610000000002
47,3/23/20,2108.960000000002,0,1,7815.127600000002
48,3/25/20,8481.080000000002,0,0,8481.080000000002
49,3/30/20,2094.910000000002,0,1,7862.611800000002
50,4/11/20,9312.640000000003,0,0,9312.640000000003
51,4/12/20,1873.0800000000036,0,1,8608.855200000004
52,4/20/20,8987.250000000002,0,0,8987.250000000002
53,4/21/20,1714.610000000002,0,1,8418.045200000002
54,5/25/20,10698.520000000002,0,0,10698.520000000002
55,5/22/20,1336.6300000000026,0,1,9892.745400000002
56,6/11/20,10916.280000000002,0,0,10916.280000000002
57,6/13/20,826.3100000000032,0,1,9927.001600000003
58,7/6/20,9774.990000000003,0,0,9774.990000000003
59,7/7/20,746.0900000000034,5,0,9604.362500000003
60,7/9/20,9711.030000000004,0,0,9711.030000000004
61,7/11/20,82.16000000000457,0,1,9135.439200000006
62,9/3/20,11766.950000000006,0,0,11766.950000000006
63,9/5/20,141.5600000000057,0,1,10125.319800000005
64,9/4/20,10400.090000000004,0,0,10400.090000000004
65,9/8/20,661.4200000000038,5,0,10120.622500000003
66,9/10/20,10300.060000000003,0,0,10300.060000000003
67,10/5/20,689.6600000000032,5,0,10142.180000000004
68,10/7/20,10160.990000000003,0,0,10160.990000000003
69,10/8/20,644.2700000000034,5,0,9987.147500000005
70,10/10/20,9987.150000000003,0,0,9987.150000000003
71,11/2/20,483.81000000000324,5,0,9838.815000000002
72,11/6/20,10090.770000000002,0,0,10090.770000000002
73,11/9/20,289.73000000000224,5,0,9532.865000000002
74,11/17/20,9623.45,0,0,9623.45
75,11/19/20,149.15000000000072,5,0,9343.032500000001
76,12/1/20,8873.770000000002,0,0,8873.770000000002
77,12/2/20,1558.3400000000022,4,0,8775.836000000001
78,12/6/20,8856.620000000003,0,0,8856.620000000003
79,12/4/20,1410.9000000000026,4,0,8709.180000000002
80,12/7/20,8709.180000000004,0,0,8709.180000000004
81,12/9/20,1161.8500000000035,4,0,8455.180000000004
82,1/7/21,8812.370000000003,0,0,8812.370000000003
83,1/10/21,1286.2500000000023,4,0,8663.334000000003
84,1/19/21,8545.130000000003,0,0,8545.130000000003
85,1/20/21,1132.9400000000026,4,0,8485.076000000003
86,2/9/21,8400.530000000002,0,0,8400.530000000002
87,2/19/21,1184.2800000000022,4,0,8257.632000000001
88,2/22/21,8257.630000000001,0,0,8257.630000000001
89,3/12/21,1370.2400000000011,4,0,8121.248000000001
90,3/16/21,8195.890000000001,0,0,8195.890000000001
91,3/31/21,1392.7300000000012,4,0,8089.288000000001
92,4/3/21,8227.89,0,0,8227.89
93,4/6/21,1254.6499999999996,4,0,8163.464
94,4/28/21,8319.88,0,0,8319.88
95,4/29/21,1160.189999999999,4,0,8140.283999999999
96,6/16/21,8545.989999999998,0,0,8545.989999999998
97,6/20/21,1382.6699999999983,4,0,8404.145999999997
98,7/27/21,8511.459999999997,0,0,8511.459999999997
99,7/28/21,1238.0499999999977,4,0,8352.585999999998
100,7/29/21,8352.589999999997,0,0,8352.589999999997
101,8/13/21,1186.2399999999968,4,0,8210.685999999996
102,9/7/21,8399.779999999995,0,0,8399.779999999995
